[subject]	object	u
od:Misleidende_en_vergelijkende_reclame	(heeft_handeling some Algemene_handeling) or (heeft_handeling some Inbreukhandeling) or (heeft_handeling some Nalaten)	[heeft_handeling some Algemene_handeling, heeft_handeling some Inbreukhandeling, heeft_handeling some Nalaten]
od:Aansprakelijkheid_voor_kinderen	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Hinderhandeling) or (heeft_handeling some Inbreukhandeling)	[heeft_handeling some Gevaarshandeling, heeft_handeling some Hinderhandeling, heeft_handeling some Inbreukhandeling]
od:Aansprakelijkheid_voor_gebrekkige_zaken	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Hinderhandeling) or (heeft_handeling some Werkhandeling)	[heeft_handeling some Gevaarshandeling, heeft_handeling some Hinderhandeling, heeft_handeling some Werkhandeling]
od:Productenaansprakelijkheid	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Inbreukhandeling) or (heeft_handeling some Nalaten) or (heeft_handeling some Wanprestatie)	[heeft_handeling some Gevaarshandeling, heeft_handeling some Inbreukhandeling, heeft_handeling some Nalaten, heeft_handeling some Wanprestatie]
od:Aansprakelijkheid_voor_zaken	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Nalaten)	[heeft_handeling some Gevaarshandeling, heeft_handeling some Nalaten]
od:Aansprakelijkheid_voor_boorgaten	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Werkhandeling)	[heeft_handeling some Gevaarshandeling, heeft_handeling some Werkhandeling]
od:Aansprakelijkheid_voor_gevaarlijke_stoffen	(heeft_handeling some Gevaarshandeling) or (heeft_handeling some Werkhandeling)	[heeft_handeling some Gevaarshandeling, heeft_handeling some Werkhandeling]
od:Aansprakelijkheid_voor_vertegenwoordigers	(heeft_handeling some Inbreukhandeling) or (heeft_handeling some Wanprestatie) or (heeft_handeling some Werkhandeling)	[heeft_handeling some Inbreukhandeling, heeft_handeling some Wanprestatie, heeft_handeling some Werkhandeling]
od:Doen_in_strijd_met_recht	(od:voldoet_aan some od:Handelen_in_strijd_met_een_wettelijke_plicht) or (od:voldoet_aan some od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt) or (od:voldoet_aan some od:Inbreuk_op_een_recht)	[od:voldoet_aan some od:Handelen_in_strijd_met_een_wettelijke_plicht, od:voldoet_aan some od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt, od:voldoet_aan some od:Inbreuk_op_een_recht]
od:Nalaten_in_strijd_met_recht	(od:voldoet_aan some od:Handelen_in_strijd_met_een_wettelijke_plicht) or (od:voldoet_aan some od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt)	[od:voldoet_aan some od:Handelen_in_strijd_met_een_wettelijke_plicht, od:voldoet_aan some od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt]
od:Schadeveroorzakende_gebeurtenis	Doen and Nalaten	
od:Aard_van_de_vergunning	Hinderhandeling and Inbreukhandeling	
od:Roerende_zaken	Nalaten and Werkhandeling	
od:Aard_van_de_gedraging	Doen and Nalaten	
od:Aard_van_de_gepublliceerde_verdenking	Inbreukhandeling and Werkhandeling	
od:Ernst_van_de_gevolgen	Doen and Nalaten
od:Aansprakelijkheid_voor_stortplaatsen	heeft_handeling some Werkhandeling
od:Doel_van_de_contractspartijen	Nalaten and Wanprestatie and Werkhandeling
od:Leveringsvoowaarden	Wanprestatie and Werkhandeling
od:Onbeheersbare_ondergrondse_natuurlijke_krachten	Nalaten and Werkhandeling
od:Aansprakelijkheid_voor_ondergeschikten	heeft_handeling some Werkhandeling
od:Aanduiding_of_het_doel_van_de_aanbieding	Inbreukhandeling and Nalaten and Werkhandeling and Zorgplicht
od:Gezag_van_de_bron	Inbreukhandeling and Werkhandeling
od:Afwezigheid_van_zeggenschap	Nalaten and Werkhandeling
od:Hulpbetoon	Doen and Nalaten
od:Aard_van_de_aansprakelijkheid	Doen and Nalaten
od:Voorzienbaarheid_van_de_schade	Doen and Nalaten
od:Inkleding_van_de_verdenkingen	Inbreukhandeling and Werkhandeling
od:Persoon_van_de_gelaedeerde	Doen and Nalaten
od:Delfstoffen	Nalaten and Werkhandeling
od:Mate_van_waarschijnlijkheid_schade	Doen and Nalaten
od:Onduidelijkheid_van_de_verstrekte_gegevens	Nalaten and Werkhandeling
od:Art_6_175_lid_6	Nalaten and Werkhandeling
od:Eigen_energie_van_het_dier	Gevaarshandeling and Hinderhandeling and Nalaten
od:Handelen_in_strijd_met_een_wettelijke_plicht	Doen and Nalaten
Inbreukhandeling	od:Intensiteit_van_de_inbreuk
od:Roerende_zaak	Beslag_gelegd and Nalaten
od:Bodembeweging	Nalaten and Werkhandeling
od:Ernst_en_duur	Doen and Nalaten
od:Aard_van_de_aanwijzing	Nalaten and Verkeershandeling and Werkhandeling
od:Overtreding_gebruiksvoorschriften_bij_de_sluiting	Inbreukhandeling and Nalaten
od:Houder_van_een_dier	Gevaarshandeling and Hinderhandeling and Nalaten
od:Onbehoorlijk_aanhaken_producten_of_diensten	Inbreukhandeling and Werkhandeling
od:Onroerende_zaken	Beslag_gelegd and Werkhandeling
od:Aantasting_kwaliteit_van_leven	Hinderhandeling and Inbreukhandeling and Nalaten
od:Dier	Gevaarshandeling and Hinderhandeling and Nalaten
Werkhandeling	od:Gezagsverhouding
od:Beschikbare_alternatieven	Nalaten and Werkhandeling
od:Persoon_van_de_laedens	Doen and Nalaten
od:Omstandigheden_van_het_geval	Doen and Nalaten
Werkhandeling	od:Beschermingsbehoefte
od:Prijs_van_het_product	Inbreukhandeling and Werkhandeling
od:Wijze_of_tijdstip_van_vervaardigen_van_het_product	Inbreukhandeling and Werkhandeling
od:Eigenaar_van_een_dier	Gevaarshandeling and Hinderhandeling and Nalaten
Werkhandeling	od:Redelijk_bekwaam_vakgenoot
od:Steun_van_verdenking_in_feitenmateriaal	Inbreukhandeling and Werkhandeling
od:Illegaal_storten	Nalaten and Werkhandeling
od:Beperking_van_het_nadeel_door_perspubilcatie	Inbreukhandeling and Nalaten and Werkhandeling and Zorgplicht
od:Eigenschappen_van_het_product	Nalaten and Werkhandeling
Inbreukhandeling	od:Aard_en_de_werkwijze_van_de_media
od:Plaats_van_de_daad	Doen and Nalaten
od:Onevenredig_getroffen	Inbreukhandeling and Nalaten and Werkhandeling
od:Afwijking_in_de_gronddekking	Nalaten and Werkhandeling
od:Veiligheidsvoorschriften	Gevaarshandeling and Nalaten
od:Voorzorgsmaatregelen	Doen and Nalaten
od:Aansprakelijkheid_voor_personen	heeft_handeling some Verkeershandeling
od:Schepen	Algemene_handeling and Beslag_gelegd
Algemene_handeling	od:Eigendomsvoorbehoud
od:Aard_van_de_fout	Nalaten and Verkeershandeling and Werkhandeling
od:Bestaan_van_andere_gegevens	Inbreukhandeling and Nalaten and Werkhandeling
od:Fabrikant_van_een_onderdeel	Nalaten and Werkhandeling
od:Hoedanigheid_van_de_gegevensverstrekker	Nalaten and Werkhandeling
od:Art_6_175_lid_1	Nalaten and Werkhandeling
Werkhandeling	od:Zeggenschap
od:Handelen_in_strijd_met_hetgeen_in_het_maatschappelijk_verkeer_betaamt	Doen and Nalaten
od:Product_dat_niet_de_veiligheid_biedt	Nalaten and Werkhandeling
od:Kwalitatieve_aansprakelijkheid	heeft_handeling some Algemene_handeling
Werkhandeling	od:Krachtens_volmacht
od:Bezwaarlijkheid_veiligheidsmaatregelen	Gevaarshandeling and Hinderhandeling and Nalaten
Werkhandeling	od:Hulppersonen
od:Persoonlijke_aansprakelijkheid	heeft_handeling some Handeling
Werkhandeling	od:Afwijking_van_de_normaalbladen
Werkhandeling	od:Kansvergroting
od:Redelijkerwijs_te_verwachten_gebruik	Nalaten and Werkhandeling
od:Kenbaarheid	Doen and Nalaten
Werkhandeling	od:Tijdstip_van_de_fout
